Date;CompanyCode;CompanyName;Country;RawCompanyName;RawCountryName;HomeCountry;HomeCountryCode;Operation;UserType;DeviceCategory;AppInterest;CategoryName;ContentType;ContentID;ContentTitle;ContentTitleEN;ContentLanguage;TotalEvents;UniqueEvents;Users;DataSource;ImportDate;DateRange;CreatedBy;PipelineRunID;FileName;Stack;Route;Topic
"2026-07-06";"ROCHE";"ROCHE";"Algeria";"ROCHE";"Algeria";"Algeria";"DZ";"Lyra Health International Ltd";"Returning User";"Desktop";"Relationships";;"Article";"d106037c-9b5a-4c8e-8d78-c979f00b3f1c";"<p>Gérer ses émotions pendant une rupture</p>";"undefined";"fr";"1";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Health_International_Ltd/Monthly/HubDailyContentData_2026-08-02.csv";"<p>Impactful life changes</p>";"Explore";"Divorce and break-up"
"2026-07-01";"TETRAPAK";"Tetrapak";"Tunisia";"Tetrapak";"Tunisia";"Algeria";"DZ";"Lyra Health International Ltd";"Returning User";"Mobile";"Lifestyle,Relationships";;"Article";"0099bfda-5fcd-45dd-9d6f-a192b196824f";"<p>Comment résoudre les conflits avec les collègues</p>";"<p>How to resolve conflicts with coworkers</p>";"fr";"1";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Health_International_Ltd/Monthly/HubDailyContentData_2026-08-02.csv";"<p>Interpersonal skills</p>";"Explore";"Interpersonal skills"
"2026-07-07";"MOODYS";"Moody's Shared Services";"Germany";"Moody's Shared Services";"Germany";"Lithuania";"LT";"Lyra Health International Ltd";"Returning User";"Desktop";"MentalHealth";;"Article";"3e7136da-8ad7-4a21-a0ba-56760fb066dc";"<p>Returning to work after a major life change</p>";"<p>Returning to work after a major life change</p>";"en";"1";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Health_International_Ltd/Monthly/HubDailyContentData_2026-08-02.csv";"<p>Thriving at work</p>";"Explore";"Adapting to change"
"2026-07-31";"BEIERSDORF";"BEIERSDORF";"Finland";"BEIERSDORF";"Finland";"Finland";"FI";"Lyra Health International Ltd";"Returning User";"Desktop";"Lifestyle";"Mental Health";"Article";"9281b8e6-774d-46b6-bad0-c4ea01cdf00e";"<p>How to motivate yourself when you're struggling with low mood</p>";"<p>How to motivate yourself when you're struggling with low mood</p>";"en";"1";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Health_International_Ltd/Monthly/HubDailyContentData_2026-08-02.csv";"<p>Achieving your goals</p>";"Explore";"Goal setting"
"2026-07-31";"BEIERSDORF";"BEIERSDORF";"Finland";"BEIERSDORF";"Finland";"Finland";"FI";"Lyra Health International Ltd";"Returning User";"Desktop";"Relationships";;"Article";"239ce777-cd83-4405-b04d-7c0d353a850e";"<p>6 ways to build a stronger team&nbsp;</p>";"<p>6 ways to build a stronger team&nbsp;</p>";"en";"1";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Health_International_Ltd/Monthly/HubDailyContentData_2026-08-02.csv";;"Explore";"Leadership,Team dynamics,Teambuilding"
"2026-07-31";"BEIERSDORF";"BEIERSDORF";"Finland";"BEIERSDORF";"Finland";"Finland";"FI";"Lyra Health International Ltd";"Returning User";"Desktop";"Lifestyle,MentalHealth";;"Article";"0c308f6a-9798-4a12-b2b4-6d114d8382b4";"<p>How to adapt to work after layoffs</p>";"<p>How to adapt to work after layoffs</p>";"en";"1";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Health_International_Ltd/Monthly/HubDailyContentData_2026-08-02.csv";"<p>Organisational change</p>";"Explore";"Retrenchment"
"2026-07-31";"BEIERSDORF";"BEIERSDORF";"Finland";"BEIERSDORF";"Finland";"Finland";"FI";"Lyra Health International Ltd";"Returning User";"Desktop";"Lifestyle";;"Article";"d6564cb1-d137-44da-801a-355e7f9d8cb6";"<p>5 core skills for first-time managers</p>";"<p>5 core skills for first-time managers</p>";"en";"1";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Health_International_Ltd/Monthly/HubDailyContentData_2026-08-02.csv";"<p>Leadership skills</p>";"Explore";"Management skills"
"2026-07-31";"BEIERSDORF";"BEIERSDORF";"Finland";"BEIERSDORF";"Finland";"Finland";"FI";"Lyra Health International Ltd";"Returning User";"Desktop";"Lifestyle";;"Article";"2501a6ab-c820-47a3-947b-07fdaedfa7b7";"<p>How to build your confidence as a manager</p>";"<p>How to build your confidence as a manager</p>";"en";"1";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Health_International_Ltd/Monthly/HubDailyContentData_2026-08-02.csv";"<p>Effective management</p>";"Explore";"Management skills"
"2026-07-30";"BEIERSDORF";"BEIERSDORF";"Finland";"BEIERSDORF";"Finland";"Finland";"FI";"Lyra Health International Ltd";"Returning User";"Desktop";"Lifestyle";;"Article";"2c691e76-0ba3-4844-97fa-3aae56bb297a";"<p>How to motivate your team</p>";"<p>How to motivate your team</p>";"en";"1";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Health_International_Ltd/Monthly/HubDailyContentData_2026-08-02.csv";"<p>Effective management</p>";"Explore";"Management skills"
"2026-07-30";"BEIERSDORF";"BEIERSDORF";"Finland";"BEIERSDORF";"Finland";"Finland";"FI";"Lyra Health International Ltd";"Returning User";"Desktop";"Lifestyle";;"Article";"d6564cb1-d137-44da-801a-355e7f9d8cb6";"<p>5 core skills for first-time managers</p>";"<p>5 core skills for first-time managers</p>";"en";"1";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Health_International_Ltd/Monthly/HubDailyContentData_2026-08-02.csv";"<p>Effective management</p>";"Explore";"Management skills"
