Date;CompanyCode;CompanyName;Country;RawCompanyName;RawCountryName;HomeCountry;HomeCountryCode;Operation;UserType;DeviceCategory;SessionDuration;SessionDurationInSeconds;Sessions;Users;DataSource;ImportDate;DateRange;CreatedBy;PipelineRunID;FileName
"2026-07-30";"GRUPOBIMBO";"Grupo Bimbo";"Mexico";"Grupo Bimbo";"Mexico";"Mexico";"MX";"Lyra Mexico and Central America";"Returning User";"Mobile";"60";"00:01:00";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Mexico_and_Central_America/Monthly/HubDailyUsers_2026-08-02.csv"
"2026-07-30";"GRUPOBIMBO";"Grupo Bimbo";"Mexico";"Grupo Bimbo";"Mexico";"Mexico";"MX";"Lyra Mexico and Central America";"Returning User";"Mobile";"74299";"20:38:19";"9";"9";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Mexico_and_Central_America/Monthly/HubDailyUsers_2026-08-02.csv"
"2026-07-31";"GRUPOBIMBO";"Grupo Bimbo";"Mexico";"Grupo Bimbo";"Mexico";"Mexico";"MX";"Lyra Mexico and Central America";"Returning User";"Mobile";"62590";"17:23:10";"8";"8";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Mexico_and_Central_America/Monthly/HubDailyUsers_2026-08-02.csv"
"2026-07-28";"GETNET123";"Get Net";"Mexico";"Get Net";"Mexico";"Mexico";"MX";"Lyra Mexico and Central America";"Returning User";"Mobile";"6371";"01:46:11";"2";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Mexico_and_Central_America/Monthly/HubDailyUsers_2026-08-02.csv"
"2026-07-01";"BIENESTARBASF";"BASF";"Mexico";"BASF";"Mexico";"Mexico";"MX";"Lyra Mexico and Central America";"Returning User";"Mobile";"17839";"04:57:19";"2";"2";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Mexico_and_Central_America/Monthly/HubDailyUsers_2026-08-02.csv"
"2026-07-29";"GDA";"Grupo Diagnóstico Aries GDA";"Mexico";"Grupo Diagnóstico Aries GDA";"Mexico";"Mexico";"MX";"Lyra Mexico and Central America";"Returning User";"Mobile";"14102";"03:55:02";"2";"2";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Mexico_and_Central_America/Monthly/HubDailyUsers_2026-08-02.csv"
"2026-07-31";"GDA";"Grupo Diagnóstico Aries GDA";"Mexico";"Grupo Diagnóstico Aries GDA";"Mexico";"Mexico";"MX";"Lyra Mexico and Central America";"Returning User";"Mobile";"75755";"21:02:35";"2";"2";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Mexico_and_Central_America/Monthly/HubDailyUsers_2026-08-02.csv"
"2026-07-08";"ATMUS";"Atmus";"Mexico";"Atmus";"Mexico";"Mexico";"MX";"Lyra Mexico and Central America";"Returning User";"Mobile";"22";"00:00:22";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Mexico_and_Central_America/Monthly/HubDailyUsers_2026-08-02.csv"
"2026-07-21";"GRUPOTERAN";"Grupo Teran";"Mexico";"Grupo Teran";"Mexico";"Mexico";"MX";"Lyra Mexico and Central America";"Returning User";"Mobile";"264";"00:04:24";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Mexico_and_Central_America/Monthly/HubDailyUsers_2026-08-02.csv"
"2026-07-07";"AFILIADOSPAE";"Lyra Mexico Affiliates (Test Preview)";"Mexico";"Lyra Mexico Affiliates (Test Preview)";"Mexico";"Mexico";"MX";"Lyra Mexico and Central America";"Returning User";"Mobile";"2835";"00:47:15";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Mexico_and_Central_America/Monthly/HubDailyUsers_2026-08-02.csv"
"2026-07-10";"ASISTENCIALINDE";"Linde";"Mexico";"Linde";"Mexico";"Mexico";"MX";"Lyra Mexico and Central America";"Returning User";"Mobile";"8";"00:00:08";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/Lyra_Mexico_and_Central_America/Monthly/HubDailyUsers_2026-08-02.csv"
