Date;Month;CompanyCode;Country;CompanyName;RawCompanyName;RawCountryName;HomeCountry;HomeCountryCode;Operation;NewUsers;Users;Sessions;Hits;DataSource;ImportDate;DateRange;CreatedBy;PipelineRunID;FileName
"2026-07-01";"2026-07";"GIAHUB";"Botswana";"Gemological Institute of America";"Gemological Institute of America";"Botswana";"Botswana";"BW";"ICAS Botswana";"1";"1";"1";"4";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/ICAS_Botswana/Monthly/HubMonthlyUsers_2026-08-02.csv"
"2026-07-01";"2026-07";"LUCARAHUB";"Botswana";"Lucara Botswana";"Lucara Botswana";"Botswana";"Botswana";"BW";"ICAS Botswana";"6";"8";"8";"41";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/ICAS_Botswana/Monthly/HubMonthlyUsers_2026-08-02.csv"
"2026-07-01";"2026-07";"PULAHUB";"Botswana";"Pula Medical Aid Fund";"Pula Medical Aid Fund";"Botswana";"Botswana";"BW";"ICAS Botswana";"6";"8";"11";"123";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/ICAS_Botswana/Monthly/HubMonthlyUsers_2026-08-02.csv"
"2026-07-01";"2026-07";"ICASBWTEST";"Botswana";"ICAS Botswana (Test Preview)";"ICAS Botswana (Test Preview)";"Botswana";"Botswana";"BW";"ICAS Botswana";"2";"2";"3";"27";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/ICAS_Botswana/Monthly/HubMonthlyUsers_2026-08-02.csv"
"2026-07-01";"2026-07";"ORANGEHUB";"Botswana";"Orange Botswana";"Orange Botswana";"Botswana";"Botswana";"BW";"ICAS Botswana";"9";"9";"19";"236";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/ICAS_Botswana/Monthly/HubMonthlyUsers_2026-08-02.csv"
"2026-07-01";"2026-07";"FCBHUB";"Botswana";"First Capital Bank Botswana";"First Capital Bank Botswana";"Botswana";"Botswana";"BW";"ICAS Botswana";"0";"1";"2";"4";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/ICAS_Botswana/Monthly/HubMonthlyUsers_2026-08-02.csv"
"2026-07-01";"2026-07";"KOMATSUHUB";"Botswana";"Komatsu Botswana";"Komatsu Botswana";"Botswana";"Botswana";"BW";"ICAS Botswana";"2";"2";"2";"2";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/ICAS_Botswana/Monthly/HubMonthlyUsers_2026-08-02.csv"
"2026-07-01";"2026-07";"LUCARAHUB";"United States of America";"Lucara Botswana";"Lucara Botswana";"United States";"Botswana";"BW";"ICAS Botswana";"1";"1";"1";"2";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/ICAS_Botswana/Monthly/HubMonthlyUsers_2026-08-02.csv"
"2026-07-01";"2026-07";"GIAHUB";"Botswana";"Gemological Institute of America";"Gemological Institute of America";"Botswana";;"null";"ICAS Botswana";"1";"1";"1";"1";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/ICAS_Botswana/Monthly/HubMonthlyUsers_2026-08-02.csv"
"2026-07-01";"2026-07";"LUCARAHUB";"Botswana";"Lucara Botswana";"Lucara Botswana";"Botswana";;"null";"ICAS Botswana";"5";"6";"6";"6";"App_Insights";"2026-08-02";"2026-07-01 - 2026-07-31";"pl_tran_adlk_AppInsight_HUBData_Process";"e1057d7f-7b73-4aab-be38-48f6a345c957";"Staging/2026-08-02_e1057d7f-7b73-4aab-be38-48f6a345c957/ICAS_Botswana/Monthly/HubMonthlyUsers_2026-08-02.csv"
