Date;CompanyCode;CompanyName;CurrentCountry;HomeCountry;Operation;AssessmentType;SectionName;Result
2026-07-01 00:21:23.916;AROLLAHUB;Arolla;France;France;Lyra France SASU;checkIn;NULL;sad
2026-07-01 00:24:03.369;FERRERO;Ferrero;United States of America;United States of America;Lyra Health International Ltd;checkIn;NULL;content
2026-07-01 00:46:11.677;SANDVIK;Sandvik Mining and Construction SEA Pte Ltd.;Hong Kong;Philippines;Lyra Health International Ltd;checkIn;NULL;happy
2026-07-01 01:06:12.517;BPWELLBEINGUSA;BP;United States of America;United States of America;Lyra Health International Ltd;checkIn;NULL;content
2026-07-01 01:43:03.624;KOCH;Koch;Mexico;Mexico;Lyra Health International Ltd;checkIn;NULL;happy
2026-07-01 02:08:02.996;WES007;Western Cape Education;South Africa;South Africa;Lyra Southern Africa Pty Ltd;checkIn;NULL;content
2026-07-01 02:29:29.036;NEWMONT;Newmont;Australia;Australia;Lyra Health International Ltd;checkIn;NULL;devastated
2026-07-01 03:03:05.484;EVREN;EVREN;India;India;Lyra Mental Health India Private Limited;checkIn;NULL;happy
2026-07-01 03:21:11.220;SANDVIK;Sandvik Mining and Construction SEA Pte Ltd.;Singapore;Singapore;Lyra Health International Ltd;checkIn;NULL;excited
2026-07-01 03:21:11.580;CP001;Cathay (Pilots);Hong Kong;Hong Kong;Lyra Health International Ltd;checkIn;NULL;happy
2026-07-01 03:21:52.784;SANDVIK;Sandvik Mining and Construction SEA Pte Ltd.;Singapore;Singapore;Lyra Health International Ltd;wellnessQuestionnaire;Coping style;average
2026-07-01 03:22:12.499;SANDVIK;Sandvik Mining and Construction SEA Pte Ltd.;Singapore;Singapore;Lyra Health International Ltd;wellnessQuestionnaire;Inner strength;average
2026-07-01 03:22:31.894;SANDVIK;Sandvik Mining and Construction SEA Pte Ltd.;Singapore;Singapore;Lyra Health International Ltd;wellnessQuestionnaire;Stress;low
2026-07-01 03:23:00.876;SANDVIK;Sandvik Mining and Construction SEA Pte Ltd.;Singapore;Singapore;Lyra Health International Ltd;wellnessQuestionnaire;Home and family life;good
2026-07-01 03:23:48.553;SANDVIK;Sandvik Mining and Construction SEA Pte Ltd.;Singapore;Singapore;Lyra Health International Ltd;wellnessQuestionnaire;Financial wellness;average
2026-07-01 03:24:12.543;SANDVIK;Sandvik Mining and Construction SEA Pte Ltd.;Singapore;Singapore;Lyra Health International Ltd;wellnessQuestionnaire;Physical wellness;low
2026-07-01 04:18:29.503;CGI;CGI;France;France;Lyra Health International Ltd;checkIn;NULL;excited
2026-07-01 04:22:53.871;SANDVIK;Sandvik Mining and Construction SEA Pte Ltd.;Singapore;Indonesia;Lyra Health International Ltd;checkIn;NULL;sad
2026-07-01 04:28:34.420;ALSHAYAXLYRA;Alshaya Group;United Arab Emirates;Kuwait;Lyra Health International Ltd (DMCC) Branch (MENA);checkIn;NULL;devastated
2026-07-01 04:52:03.383;LYRAMENATEST;ICAS MENA (Test Preview);United Arab Emirates;United Arab Emirates;Lyra Health International Ltd (DMCC) Branch (MENA);checkIn;NULL;excited
2026-07-01 05:07:08.669;RSGROUP;RS Group PLC;Finland;Latvia;Lyra Health International Ltd;checkIn;NULL;happy
2026-07-01 05:08:54.791;EDWARDSLIFESCIENCES;Edwards Lifesciences;Costa Rica;Costa Rica;Lyra Health International Ltd;checkIn;NULL;content
2026-07-01 05:31:43.165;WES003;Western Cape Liquor Authority;South Africa;South Africa;Lyra Southern Africa Pty Ltd;checkIn;NULL;sad
2026-07-01 05:34:17.313;WCG011;WCG CSC DOI Department of infrastructure;South Africa;South Africa;Lyra Southern Africa Pty Ltd;checkIn;NULL;happy
2026-07-01 05:44:54.517;WISER;Wise;Singapore;Singapore;Lyra Health International Ltd;checkIn;NULL;content
2026-07-01 05:49:01.056;AFR015;Afrocentric Mauritius;Mauritius;Mauritius;Lyra Southern Africa Pty Ltd;checkIn;NULL;excited
2026-07-01 06:07:33.993;WCG011;WCG CSC DOI Department of infrastructure;South Africa;South Africa;Lyra Southern Africa Pty Ltd;checkIn;NULL;happy
2026-07-01 06:16:49.800;HCL;HCL;Sweden;Sweden;Lyra Health International Ltd;checkIn;NULL;excited
2026-07-01 06:16:58.981;CHEMOURS;Chemours;Netherlands;Netherlands;Lyra Health International Ltd;checkIn;NULL;sad
2026-07-01 06:24:29.438;AMADEUSEAP;Amadeus;Germany;Germany;Lyra Deutschland GmBH;checkIn;NULL;excited
2026-07-01 06:25:54.387;BID002;Bidvest;South Africa;South Africa;Lyra Southern Africa Pty Ltd;checkIn;NULL;sad
2026-07-01 06:29:19.470;KMD;KMD Brands;Indonesia;Indonesia;Lyra Health International Ltd;checkIn;NULL;sad
2026-07-01 06:31:57.991;MGG001;MGG Productions (PTY) LTD;South Africa;South Africa;Lyra Southern Africa Pty Ltd;checkIn;NULL;sad
2026-07-01 06:40:51.207;OUT001;Outsurance;South Africa;South Africa;Lyra Southern Africa Pty Ltd;checkIn;NULL;sad
2026-07-01 06:41:17.311;WES006;Western Cape Department of Health and Wellness;South Africa;South Africa;Lyra Southern Africa Pty Ltd;checkIn;NULL;devastated
2026-07-01 06:41:38.652;HAM001;H and M;South Africa;South Africa;Lyra Southern Africa Pty Ltd;checkIn;NULL;content
2026-07-01 06:44:03.198;WES007;Western Cape Education;South Africa;South Africa;Lyra Southern Africa Pty Ltd;checkIn;NULL;devastated
2026-07-01 06:46:09.078;PAGEAPACHUB22;Page Group APAC;Philippines;Philippines;Lyra Health International Ltd;checkIn;NULL;devastated
2026-07-01 06:47:03.404;ANCOFER;Ancofer Waldram Steelplates;Netherlands;Netherlands;Lyra Netherlands BV;checkIn;NULL;devastated
2026-07-01 06:50:27.892;WECARE;DS Smith;Netherlands;Netherlands;Lyra Health International Ltd;checkIn;NULL;excited
2026-07-01 07:04:07.199;V3STAGETEST;Velocity Cubed Staging Testing;South Africa;South Africa;Lyra International;wellnessQuestionnaire;Coping style;average
2026-07-01 07:12:09.160;QIAGEN;QIAGEN GmbH;Poland;Poland;Lyra Health International Ltd;checkIn;NULL;happy
2026-07-01 07:12:15.081;QIAGEN;QIAGEN GmbH;Germany;Germany;Lyra Health International Ltd;checkIn;NULL;excited
